Hole_ID,From,To,Lithology
DH039,9.0,9.4,BRK
DH040,0.0,1.0,SOIL
DH040,1.0,2.0,LIMO
DH040,2.0,3.0,LIMO
DH040,3.0,4.0,LIMO
DH040,4.0,5.0,LIMO
DH040,5.0,6.0,LIMO
DH040,6.0,7.0,LIMO
DH040,7.0,8.0,LIMO
DH040,8.0,9.0,LIMO
DH040,9.0,10.0,SAP
DH040,10.0,11.0,RSAP
DH040,11.0,11.3,RSAP
DH041,0.0,0.3,SOIL
DH041,0.3,1.0,LIMO
DH041,1.0,2.0,LIMO
DH041,2.0,3.0,LIMO
DH041,3.0,4.0,LIMO
DH041,4.0,5.0,LIMO
DH041,5.0,6.0,LIMO
DH041,6.0,7.0,LIMO
DH041,7.0,8.0,LIMO
DH041,8.0,9.0,SAP
DH041,9.0,10.0,BRK
DH042,0.0,1.0,SOIL
DH042,1.0,2.0,LIMO
DH042,2.0,3.0,LIMO
DH042,3.0,4.0,LIMO
DH042,4.0,5.0,LIMO
DH042,5.0,6.0,LIMO
DH042,6.0,7.0,LIMO
DH042,7.0,8.0,SAP
DH042,8.0,9.0,SAP
DH042,9.0,10.0,BLD
DH042,10.0,11.0,SAP
DH042,11.0,12.0,SAP
DH042,12.0,13.0,SAP
DH042,13.0,14.0,BRK
DH043,0.0,1.0,SOIL
DH043,1.0,2.0,LIMO
DH043,2.0,3.0,LIMO
DH043,3.0,4.0,LIMO
DH043,4.0,5.0,LIMO
DH043,5.0,6.0,LIMO
DH043,6.0,7.0,LIMO
DH043,7.0,8.0,SAP
DH043,8.0,8.9,RSAP
DH044,0.0,1.0,SOIL
DH044,1.0,2.0,LIMO
DH044,2.0,3.0,LIMO
DH044,3.0,4.0,LIMO
DH044,4.0,5.0,SAP
DH044,5.0,6.0,SAP
DH044,6.0,7.0,SROC
DH044,7.0,8.0,SROC
DH044,8.0,8.5,SAP
DH044,8.5,9.0,BRK
DH044,9.0,10.0,BRK
DH045,0.0,1.0,SOIL
DH045,1.0,2.0,LIMO
DH045,2.0,3.0,LIMO
DH045,3.0,4.0,LIMO
DH045,4.0,5.0,LIMO
DH045,5.0,6.0,LIMO
DH045,6.0,7.0,LIMO
DH045,7.0,8.0,LIMO
DH045,8.0,9.0,LIMO
DH045,9.0,10.0,LIMO
DH045,10.0,11.0,LIMO
